=== Airfoil Parameters ===
m = 0.02
p = 0.4
t = 0.12

=== Control Points ===
0.01913, -0.03267
0.01956, -0.03287
0.02000, -0.03307
0.02044, -0.03327
0.02088, -0.03347
0.02133, -0.03367
0.02179, -0.03386
0.02225, -0.03406
0.02271, -0.03425
0.02318, -0.03445
0.02365, -0.03464
0.02413, -0.03483
0.02461, -0.03502
0.02510, -0.03521
0.02559, -0.03540
0.02609, -0.03559
0.02659, -0.03578
0.02709, -0.03596
0.02760, -0.03615
0.02812, -0.03633
0.02864, -0.03652
0.02916, -0.03670
0.02969, -0.03688
0.03022, -0.03706
0.03076, -0.03724
0.03130, -0.03742
0.03185, -0.03759
0.03240, -0.03777
0.03296, -0.03794
0.03352, -0.03812
0.03408, -0.03829
0.03465, -0.03846
0.03523, -0.03863
0.03580, -0.03880
0.03639, -0.03897
0.03697, -0.03914
0.03757, -0.03931
0.03816, -0.03947
0.03876, -0.03964
0.03937, -0.03980
0.03998, -0.03996
0.04059, -0.04013
0.04121, -0.04029
0.04183, -0.04045
0.04246, -0.04061
0.04309, -0.04076
0.04373, -0.04092
0.04437, -0.04108
0.04501, -0.04123
0.04566, -0.04138
0.04632, -0.04154
0.04698, -0.04169
0.04764, -0.04184
0.04831, -0.04199
0.04898, -0.04214
0.04965, -0.04228
0.05033, -0.04243
0.05102, -0.04258
0.05171, -0.04272
0.05240, -0.04286
0.05310, -0.04301
0.05380, -0.04315
0.05450, -0.04329
0.05521, -0.04343
0.05593, -0.04356
0.05665, -0.04370
0.05737, -0.04384
0.05810, -0.04397
0.05883, -0.04411
0.05956, -0.04424
0.06030, -0.04437
0.06105, -0.04450
0.06180, -0.04463
0.06255, -0.04476
0.06331, -0.04489
0.06407, -0.04501
0.06483, -0.04514
0.06560, -0.04527
0.06638, -0.04539
0.06715, -0.04551
0.06794, -0.04563
0.06872, -0.04575
0.06951, -0.04587
0.07031, -0.04599
0.07111, -0.04611
0.07191, -0.04622
0.07271, -0.04634
0.07353, -0.04645
0.07434, -0.04657
0.07516, -0.04668
0.07598, -0.04679
0.07681, -0.04690
0.07764, -0.04701
0.07847, -0.04712
0.07931, -0.04722
0.08016, -0.04733
0.08100, -0.04743
0.08186, -0.04754
0.08271, -0.04764
0.08357, -0.04774
0.08443, -0.04784
0.08530, -0.04794
0.08617, -0.04804
0.08705, -0.04814
0.08793, -0.04823
0.08881, -0.04833
0.08970, -0.04842
0.09059, -0.04851
0.09148, -0.04861
0.09238, -0.04870
0.09328, -0.04879
0.09419, -0.04888
0.09510, -0.04896
0.09601, -0.04905
0.09693, -0.04914
0.09785, -0.04922
0.09878, -0.04930
0.09971, -0.04939
0.10064, -0.04947
0.10158, -0.04955
0.10252, -0.04963
0.10346, -0.04971
0.10441, -0.04978
0.10536, -0.04986
0.10632, -0.04994
0.10728, -0.05001
0.10824, -0.05008
0.10921, -0.05016
